trending_date,category,count
2017-12-08,Gaming,8
2017-12-08,Howto & Style,8
2017-12-08,Music,7
2017-12-08,News & Politics,27
2017-12-08,People & Blogs,35
2017-12-08,Science & Technology,4
2017-12-08,Shows,1
2017-12-08,Sports,14
2017-12-09,Autos & Vehicles,2
2017-12-09,Comedy,29
2017-12-09,Education,4
2017-12-09,Entertainment,39
2017-12-09,Film & Animation,10
2017-12-09,Gaming,6
2017-12-09,Howto & Style,10
2017-12-09,Music,16
2017-12-09,News & Politics,29
2017-12-09,People & Blogs,33
2017-12-09,Pets & Animals,2
2017-12-09,Science & Technology,5
2017-12-09,Shows,1
2017-12-09,Sports,13
2017-12-10,Autos & Vehicles,1
2017-12-10,Comedy,23
2017-12-10,Education,5
2017-12-10,Entertainment,48
2017-12-10,Film & Animation,11
2017-12-10,Gaming,11
2017-12-10,Howto & Style,8
2017-12-10,Music,11
2017-12-10,News & Politics,30
2017-12-10,People & Blogs,28
2017-12-10,Pets & Animals,1
2017-12-10,Science & Technology,5
2017-12-10,Sports,18
2017-12-11,Comedy,25
2017-12-11,Education,2
2017-12-11,Entertainment,44
2017-12-11,Film & Animation,14
2017-12-11,Gaming,9
2017-12-11,Howto & Style,13
2017-12-11,Music,14
2017-12-11,News & Politics,24
2017-12-11,People & Blogs,35
2017-12-11,Science & Technology,2
2017-12-11,Sports,18
2017-12-12,Autos & Vehicles,2
2017-12-12,Comedy,23
2017-12-12,Education,2
2017-12-12,Entertainment,52
2017-12-12,Film & Animation,13
2017-12-12,Gaming,8
2017-12-12,Howto & Style,7
2017-12-12,Music,12
2017-12-12,News & Politics,26
2017-12-12,People & Blogs,27
2017-12-12,Pets & Animals,1
2017-12-12,Science & Technology,1
2017-12-12,Shows,1
2017-12-12,Sports,24
2017-12-13,Autos & Vehicles,3
2017-12-13,Comedy,19
2017-12-13,Education,2
2017-12-13,Entertainment,51
2017-12-13,Film & Animation,17
2017-12-13,Gaming,10
2017-12-13,Howto & Style,7
2017-12-13,Music,11
2017-12-13,News & Politics,22
2017-12-13,People & Blogs,31
2017-12-13,Pets & Animals,1
2017-12-13,Science & Technology,3
2017-12-13,Shows,1
2017-12-13,Sports,21
2017-12-14,Autos & Vehicles,2
2017-12-14,Comedy,28
2017-12-14,Education,4
2017-12-14,Entertainment,44
2017-12-14,Film & Animation,14
2017-12-14,Gaming,9
2017-12-14,Howto & Style,16
2017-12-14,Music,14
2017-12-14,News & Politics,18
2017-12-14,People & Blogs,29
2017-12-14,Pets & Animals,1
2017-12-14,Science & Technology,3
2017-12-14,Shows,1
2017-12-14,Sports,16
2017-12-15,Comedy,36
2017-12-15,Education,6
2017-12-15,Entertainment,40
2017-12-15,Film & Animation,13
2017-12-15,Gaming,12
2017-12-15,Howto & Style,13
2017-12-15,Music,13
2017-12-15,News & Politics,17
2017-12-15,People & Blogs,30
2017-12-15,Pets & Animals,3
2017-12-15,Science & Technology,2
2017-12-15,Shows,1
2017-12-15,Sports,12
2017-12-16,Autos & Vehicles,3
2017-12-16,Comedy,41
2017-12-16,Education,1
2017-12-16,Entertainment,48
2017-12-16,Film & Animation,10
2017-12-16,Gaming,5
2017-12-16,Howto & Style,15
2017-12-16,Music,19
2017-12-16,News & Politics,14
2017-12-16,People & Blogs,23
2017-12-16,Science & Technology,6
2017-12-16,Shows,1
2017-12-16,Sports,13
2017-12-16,Travel & Events,1
2017-12-17,Autos & Vehicles,2
2017-12-17,Comedy,32
2017-12-17,Education,3
2017-12-17,Entertainment,49
2017-12-17,Film & Animation,12
2017-12-17,Gaming,6
2017-12-17,Howto & Style,11
2017-12-17,Music,19
2017-12-17,News & Politics,9
2017-12-17,People & Blogs,36
2017-12-17,Pets & Animals,1
2017-12-17,Science & Technology,5
2017-12-17,Sports,13
2017-12-17,Travel & Events,1
2017-12-18,Autos & Vehicles,5
2017-12-18,Comedy,29
2017-12-18,Education,5
2017-12-18,Entertainment,52
2017-12-18,Film & Animation,9
2017-12-18,Gaming,6
2017-12-18,Howto & Style,17
2017-12-18,Music,18
2017-12-18,News & Politics,14
2017-12-18,People & Blogs,24
2017-12-18,Science & Technology,2
2017-12-18,Sports,18
2017-12-18,Travel & Events,1
2017-12-19,Autos & Vehicles,4
2017-12-19,Comedy,25
2017-12-19,Education,4
2017-12-19,Entertainment,56
2017-12-19,Film & Animation,7
2017-12-19,Gaming,9
2017-12-19,Howto & Style,12
2017-12-19,Music,21
2017-12-19,News & Politics,21
2017-12-19,People & Blogs,22
2017-12-19,Science & Technology,1
2017-12-19,Shows,1
2017-12-19,Sports,17
2017-12-20,Autos & Vehicles,1
2017-12-20,Comedy,30
2017-12-20,Education,2
2017-12-20,Entertainment,55
2017-12-20,Film & Animation,14
2017-12-20,Gaming,9
2017-12-20,Howto & Style,9
2017-12-20,Music,20
2017-12-20,News & Politics,19
2017-12-20,People & Blogs,26
2017-12-20,Pets & Animals,2
2017-12-20,Science & Technology,2
2017-12-20,Sports,10
2017-12-21,Autos & Vehicles,3
2017-12-21,Comedy,31
2017-12-21,Education,6
2017-12-21,Entertainment,53
2017-12-21,Film & Animation,11
2017-12-21,Gaming,8
2017-12-21,Howto & Style,12
2017-12-21,Music,18
2017-12-21,News & Politics,19
2017-12-21,People & Blogs,22
