trending_month,category,cat_cnt,avg_comment_cnt,avg_likes_cnt,contry
18-04,Entertainment,386,1028.481865284974,10040.748704663212,France
18-04,Film & Animation,94,1244.0212765957447,8693.691489361701,France
18-04,Gaming,57,972.8070175438596,9905.263157894737,France
18-04,Howto & Style,88,2435.443181818182,16223.988636363636,France
18-04,Music,201,6098.154228855721,73322.95024875621,France
18-04,News & Politics,175,515.8,1784.3828571428571,France
18-04,Nonprofits & Activism,5,96.0,1959.8,France
18-04,People & Blogs,254,727.2480314960629,4702.8740157480315,France
18-04,Pets & Animals,13,571.0,6965.307692307692,France
18-04,Science & Technology,32,3051.09375,23787.03125,France
18-04,Shows,2,294.0,3524.5,France
18-04,Sports,218,791.6651376146789,8079.683486238532,France
18-04,Travel & Events,5,851.2,396.2,France
17-11,Autos & Vehicles,35,2977.6285714285714,15236.542857142857,Canada
17-11,Comedy,386,5909.448186528497,58049.53626943005,Canada
17-11,Education,82,2320.8658536585367,16685.036585365855,Canada
17-11,Entertainment,1072,3188.9141791044776,24190.899253731342,Canada
17-11,Film & Animation,166,4876.608433734939,43407.885542168675,Canada
17-11,Gaming,93,2959.2473118279568,21094.967741935485,Canada
17-11,Howto & Style,147,3235.3401360544217,26357.061224489797,Canada
17-11,Music,292,18964.424657534248,183730.63356164383,Canada
17-11,News & Politics,307,1843.257328990228,5642.5798045602605,Canada
17-11,Nonprofits & Activism,7,1386.142857142857,1489.0,Canada
17-11,People & Blogs,362,5179.328729281768,23906.883977900554,Canada
17-11,Pets & Animals,35,10061.4,50368.54285714286,Canada
17-11,Science & Technology,127,7040.464566929134,41297.10236220472,Canada
17-11,Shows,17,885.9411764705883,5291.117647058823,Canada
17-11,Sports,236,2339.0381355932204,21672.54661016949,Canada
17-11,Travel & Events,34,1214.3529411764705,6995.588235294118,Canada
17-12,Autos & Vehicles,37,3623.0,14976.297297297297,Canada
17-12,Comedy,638,6567.1253918495295,72188.81034482758,Canada
17-12,Education,173,2894.5375722543354,20713.514450867053,Canada
17-12,Entertainment,1950,8228.767692307692,49924.90871794872,Canada
17-12,Film & Animation,328,3689.137195121951,26313.631097560974,Canada
17-12,Gaming,257,6191.731517509727,33658.330739299614,Canada
17-12,Howto & Style,302,7361.82119205298,32542.91390728477,Canada
17-12,Music,592,11303.66722972973,137953.5962837838,Canada
17-12,News & Politics,568,1928.730633802817,5825.663732394366,Canada
17-12,Nonprofits & Activism,12,14298.833333333334,51626.0,Canada
17-12,People & Blogs,649,4624.884437596302,27491.88906009245,Canada
17-12,Pets & Animals,61,5610.049180327869,28087.032786885247,Canada
17-12,Science & Technology,164,5114.274390243902,35631.329268292684,Canada
17-12,Shows,24,483.2083333333333,3414.2083333333335,Canada
17-12,Sports,371,2526.7035040431265,25037.846361185984,Canada
17-12,Travel & Events,68,1442.014705882353,8448.264705882353,Canada
18-01,Autos & Vehicles,39,2771.7948717948716,13083.820512820514,Canada
18-01,Comedy,490,5622.49387755102,50912.45306122449,Canada
18-01,Education,132,2301.2272727272725,18392.757575757576,Canada
18-01,Entertainment,1842,3640.7947882736157,23974.855048859936,Canada
18-01,Film & Animation,300,4832.326666666667,30143.273333333334,Canada
18-01,Gaming,259,8825.243243243243,43444.88030888031,Canada
18-01,Howto & Style,232,3742.3275862068967,17830.939655172413,Canada
18-01,Music,526,10682.551330798478,126871.86311787073,Canada
18-01,News & Politics,678,2542.0162241887906,8238.793510324484,Canada
18-01,Nonprofits & Activism,24,116024.79166666667,351682.0,Canada
18-01,People & Blogs,628,3181.0079617834394,20562.62261146497,Canada
18-01,Pets & Animals,53,4748.0,22861.094339622643,Canada
18-01,Science & Technology,121,6542.471074380165,36704.330578512396,Canada
18-01,Shows,16,679.875,3347.1875,Canada
18-01,Sports,393,2698.2798982188297,20666.422391857508,Canada
18-01,Travel & Events,51,1654.4313725490197,9773.450980392157,Canada
18-02,Autos & Vehicles,62,2016.741935483871,8356.274193548386,Canada
18-02,Comedy,507,3887.285996055227,43787.07692307692,Canada
18-02,Education,161,2347.44099378882,18031.552795031057,Canada
18-02,Entertainment,1738,2863.151323360184,21672.590909090908,Canada
18-02,Film & Animation,261,6290.172413793103,51450.69731800766,Canada
18-02,Gaming,144,4887.472222222223,31148.895833333332,Canada
18-02,Howto & Style,288,4954.069444444444,20523.53125,Canada
18-02,Music,496,9272.3125,128571.71572580645,Canada
18-02,News & Politics,598,2484.252508361204,10229.857859531772,Canada
18-02,Nonprofits & Activism,4,568.0,592.0,Canada
18-02,People & Blogs,582,3053.422680412371,21444.704467353953,Canada
18-02,Pets & Animals,45,5165.155555555555,16041.6,Canada
18-02,Science & Technology,163,6128.355828220859,46348.78527607362,Canada
18-02,Shows,9,601.4444444444445,3310.777777777778,Canada
18-02,Sports,449,2986.599109131403,19034.510022271716,Canada
18-02,Travel & Events,49,1567.3469387755101,9105.387755102041,Canada
18-03,Autos & Vehicles,77,3262.987012987013,14399.16883116883,Canada
18-03,Comedy,549,4110.504553734062,40282.413479052826,Canada
18-03,Education,152,2424.3289473684213,19620.690789473683,Canada
18-03,Entertainment,2132,3630.703095684803,26154.108348968104,Canada
18-03,Film & Animation,355,4383.411267605634,40819.402816901405,Canada
18-03,Gaming,197,6522.761421319797,32331.51269035533,Canada
18-03,Howto & Style,334,2000.122754491018,19207.449101796406,Canada
18-03,Music,501,12379.630738522954,137193.35528942116,Canada
18-03,News & Politics,515,1833.2466019417475,6893.590291262136,Canada
18-03,Nonprofits & Activism,13,16513.69230769231,74457.15384615384,Canada
18-03,People & Blogs,670,2344.8865671641793,18532.828358208953,Canada
18-03,Pets & Animals,60,4353.933333333333,19414.116666666665,Canada
18-03,Science & Technology,147,3287.5714285714284,27804.08843537415,Canada
18-03,Shows,4,205.75,3201.25,Canada
18-03,Sports,424,3285.490566037736,29503.825471698114,Canada
18-03,Travel & Events,58,2212.551724137931,14834.51724137931,Canada
18-04,Autos & Vehicles,14,2947.785714285714,13290.42857142857,Canada
18-04,Comedy,174,5945.563218390805,60630.879310344826,Canada
18-04,Education,40,2382.475,27700.525,Canada
18-04,Entertainment,541,3361.615526802218,30914.715341959334,Canada
18-04,Film & Animation,85,4479.623529411765,38275.58823529412,Canada
18-04,Gaming,49,3014.7755102040815,25578.469387755104,Canada
18-04,Howto & Style,77,7895.883116883117,36909.493506493505,Canada
18-04,Music,185,9541.994594594595,115351.36756756756,Canada
18-04,News & Politics,170,2457.0941176470587,9604.85294117647,Canada
18-04,Nonprofits & Activism,6,350.6666666666667,3243.0,Canada
18-04,People & Blogs,196,2868.622448979592,26646.54591836735,Canada
18-04,Pets & Animals,11,2857.5454545454545,14101.272727272728,Canada
18-04,Science & Technology,51,3952.8627450980393,27700.901960784315,Canada
18-04,Shows,4,698.25,8790.25,Canada
18-04,Sports,173,2025.0751445086705,11584.13294797688,Canada
18-04,Travel & Events,23,1281.0,7248.95652173913,Canada
17-11,Autos & Vehicles,47,1920.9787234042553,12280.851063829787,United States
17-11,Comedy,315,4965.88253968254,45509.31746031746,United States
17-11,Education,138,2503.1304347826085,19203.210144927536,United States
17-11,Entertainment,790,4285.793670886076,33633.410126582276,United States
17-11,Film & Animation,174,5115.69540229885,47653.35057471264,United States
17-11,Gaming,22,2049.681818181818,15383.818181818182,United States
17-11,Howto & Style,319,3288.996865203762,25615.667711598748,United States
17-11,Music,613,13394.21533442088,138945.58075040783,United States
17-11,News & Politics,221,935.2941176470588,2814.995475113122,United States
17-11,Nonprofits & Activism,1,0.0,0.0,United States
17-11,People & Blogs,247,2191.975708502024,17207.388663967613,United States
17-11,Pets & Animals,56,1227.892857142857,13310.410714285714,United States
17-11,Science & Technology,237,4395.797468354431,25740.303797468354,United States
17-11,Sports,195,799.1435897435897,5106.194871794872,United States
17-11,Travel & Events,25,995.16,8410.32,United States
17-12,Autos & Vehicles,58,1988.4310344827586,15161.48275862069,United States
17-12,Comedy,579,5313.772020725389,61032.34715025907,United States
17-12,Education,224,2892.5178571428573,26882.73214285714,United States
17-12,Entertainment,1549,10085.136216914138,59797.13040671401,United States
17-12,Film & Animation,360,2283.7972222222224,20038.31388888889,United States
17-12,Gaming,63,2546.714285714286,21258.52380952381,United States
17-12,Howto & Style,560,5158.9232142857145,28001.269642857143,United States
17-12,Music,950,8984.535789473684,104151.40315789473,United States
17-12,News & Politics,547,1754.8884826325411,4388.758683729433,United States
17-12,Nonprofits & Activism,13,115.92307692307692,644.7692307692307,United States
17-12,People & Blogs,518,5478.548262548263,39056.52895752896,United States
17-12,Pets & Animals,127,4914.582677165355,23726.826771653545,United States
17-12,Science & Technology,289,3605.363321799308,26596.470588235294,United States
17-12,Shows,9,1798.7777777777778,4374.333333333333,United States
17-12,Sports,278,2168.7589928057555,19724.37050359712,United States
17-12,Travel & Events,76,2152.9605263157896,6080.513157894737,United States
